itemID,userID,reviewerID,asin
0,0,ANT9OU9GKDUBE,B006SRT02I
1,0,ANT9OU9GKDUBE,B004RECZ44
2,0,ANT9OU9GKDUBE,B004E06DTE
3,0,ANT9OU9GKDUBE,B00147VH8C
4,0,ANT9OU9GKDUBE,B004S066HE
5,0,ANT9OU9GKDUBE,B005DIN0XI
6,0,ANT9OU9GKDUBE,B005KGKZJ0
7,1,A3CJ7KS3UM4A7J,B004MXP664
8,1,A3CJ7KS3UM4A7J,B003GXFTEU
9,1,A3CJ7KS3UM4A7J,B000WLNKY0
10,1,A3CJ7KS3UM4A7J,B002TX6U14
11,1,A3CJ7KS3UM4A7J,B001AEV7U2
12,1,A3CJ7KS3UM4A7J,B000WAIMLW
13,2,A3FTZ2G6Y1T02L,B000OV99X4
14,2,A3FTZ2G6Y1T02L,B002APTDTW
15,2,A3FTZ2G6Y1T02L,B002U82PA8
16,2,A3FTZ2G6Y1T02L,B009PFIU6W
17,3,A1OB72RZF7SLQ4,B003VQQY3C
18,3,A1OB72RZF7SLQ4,B0013HCE8U
19,3,A1OB72RZF7SLQ4,B0064EQDEI
20,3,A1OB72RZF7SLQ4,B0058CFAFK
21,4,A2ER8Z81N29KO3,B005EGP4EM
22,4,A2ER8Z81N29KO3,B000A1GVKC
23,4,A2ER8Z81N29KO3,B005KPL7FM
24,4,A2ER8Z81N29KO3,B0007TLLAC
25,4,A2ER8Z81N29KO3,B002V44LTO
26,4,A2ER8Z81N29KO3,B005FN17H2
27,4,A2ER8Z81N29KO3,B000FK5R6C
28,4,A2ER8Z81N29KO3,B004QMP25Q
29,4,A2ER8Z81N29KO3,B0007LPM3W
30,5,A3O2G4BEGY480C,B004M6W4FW
31,5,A3O2G4BEGY480C,B000N4XFI2
32,5,A3O2G4BEGY480C,B000GIPENY
33,5,A3O2G4BEGY480C,B004M203L8
34,5,A3O2G4BEGY480C,B004VR9GCQ
35,6,AIACTB7Q9SIG3,B0016MLUK0
36,6,AIACTB7Q9SIG3,B000A2KC7O
37,6,AIACTB7Q9SIG3,B00848U758
38,6,AIACTB7Q9SIG3,B0001ZNZJM
39,7,AR51GCGAHENUL,B000VKMEZS
40,7,AR51GCGAHENUL,B001CCHVW0
41,7,AR51GCGAHENUL,B006LHM9P0
42,7,AR51GCGAHENUL,B0009U6VTK
43,8,A1URXSRV6WDHVY,B008H2ET0U
44,8,A1URXSRV6WDHVY,B00524WKRA
45,8,A1URXSRV6WDHVY,B000B5459Q
46,8,A1URXSRV6WDHVY,B00556FGEO
47,9,A11HU2RI6JWKUG,B0056DJW8W
48,9,A11HU2RI6JWKUG,B0001YS25K
49,9,A11HU2RI6JWKUG,B00E6OWZHW
50,10,A1OZRWGNQTV86V,B001KY7WNS
51,10,A1OZRWGNQTV86V,B005P1YGRW
52,10,A1OZRWGNQTV86V,B00B6E9ZFA
53,10,A1OZRWGNQTV86V,B004J2S304
54,10,A1OZRWGNQTV86V,B00BVBCRT4
55,11,A36Q4RZ8HHRIHK,B0051U15E4
56,11,A36Q4RZ8HHRIHK,B000MQWVA4
57,11,A36Q4RZ8HHRIHK,B001LNCAPS
58,11,A36Q4RZ8HHRIHK,B0058YQZR0
59,11,A36Q4RZ8HHRIHK,B0058YSICK
60,12,AB6CL637DZGS2,B005JVP2NU
61,12,AB6CL637DZGS2,B000KD44G8
62,12,AB6CL637DZGS2,B00188UDKU
63,12,AB6CL637DZGS2,B005C9GLB6
64,13,A2WPQUDZSARBG3,B0047N0ZYW
65,13,A2WPQUDZSARBG3,B0081VKFQO
66,14,A20IK6HC5D1ITI,B002Z8WDVO
67,14,A20IK6HC5D1ITI,B000KK0OLA
68,14,A20IK6HC5D1ITI,B0002FHIM6
69,14,A20IK6HC5D1ITI,B007JTV5GI
70,14,A20IK6HC5D1ITI,B002RWJ7YO
71,14,A20IK6HC5D1ITI,B008EVJNS2
72,15,AL5MZ4XI7NW0Y,B00B73JIHU
73,15,AL5MZ4XI7NW0Y,B000IN9MJY
74,15,AL5MZ4XI7NW0Y,B00ATHEMTY
0,15,AL5MZ4XI7NW0Y,B006SRT02I
75,16,AABITYXXBNIOG,B0000TIIH8
76,16,AABITYXXBNIOG,B00834HLCU
77,16,AABITYXXBNIOG,B000FGYUNW
78,16,AABITYXXBNIOG,B001FAX68W
79,17,A3IIUGK85D5RVZ,B0047L469Y
80,17,A3IIUGK85D5RVZ,B004X7TEGM
81,17,A3IIUGK85D5RVZ,B007T8R0IQ
82,17,A3IIUGK85D5RVZ,B003DBED9M
83,18,A75OZU2BXKEZ,B0076R6KY0
